date,suburb,station,postcode,price
2025-07-25 01:20:11,Southbank,BP Connect Clarendon,3006,179.9
2025-07-25 01:20:11,South Melbourne,United South Melbourne,3205,168.9
2025-07-25 01:20:11,South Melbourne,Ampol Foodary South Melbourne,3205,179.9
2025-07-25 01:20:11,South Melbourne,BP South Melbourne (Kingsway),3205,179.9
2025-07-25 01:20:11,North Melbourne,7-Eleven Royal Melbourne,3051,169.9
2025-07-25 01:20:11,Carlton,Coles Express Carlton (VIC),3053,169.9
2025-07-25 01:20:11,Carlton,BP Carlton,3053,169.9
2025-07-25 01:20:11,Fitzroy,7-Eleven Fitzroy,3065,169.9
2025-07-25 01:20:11,Carlton,Metro Petroleum Carlton,3053,169.7
2025-07-25 01:20:11,Elwood,Shell OTR Connect St Kilda Marina,3184,172.9
2025-07-25 01:20:11,St Kilda,Coles Express St Kilda,3182,173.9
2025-07-25 01:20:11,St Kilda,7-Eleven St Kilda,3182,173.9
2025-07-25 01:20:11,St Kilda,EG Ampol St Kilda,3182,173.9
2025-07-25 01:20:11,St Kilda,7-Eleven St Kilda,3182,173.9
2025-07-25 01:20:11,South Yarra,Ampol Foodary South Yarra,3141,173.9
2025-07-25 01:20:11,Windsor,Coles Express Windsor (VIC),3181,173.9
2025-07-25 01:20:11,Elsternwick,7-Eleven North Elsternwick,3185,169.9
2025-07-25 01:20:11,Prahran,BP Prahran,3181,169.9
2025-07-25 01:20:11,Prahran,BP East Prahran,3181,176.9
2025-07-25 01:20:11,South Yarra,Coles Express South Yarra,3141,173.9
2025-07-25 01:20:11,Prahran East,7-Eleven Prahran East,3181,173.9
2025-07-25 01:20:11,Richmond,Coles Express Richmond,3121,169.9
2025-07-25 01:20:11,Richmond,BP Richmond - Church Street,3121,169.9
2025-07-25 01:20:11,Fitzroy North,BP Fitzroy,3065,169.9
2025-07-25 01:20:11,Collingwood,Coles Express Collingwood,3066,169.9
2025-07-25 01:20:11,East Melbourne,Coles Express East Melbourne,3002,169.9
2025-07-25 01:20:11,Abbotsford,Ampol Abbotsford,3067,169.9
2025-07-25 01:20:11,Collingwood,Little Sam,3066,199.9
2025-07-25 01:20:11,Collingwood,Metro Collingwood,3066,169.9
2025-07-25 01:20:11,Fitzroy,EG Ampol Fitzroy,3065,169.9
2025-07-25 01:20:11,Abbotsford,Coles Express Abbotsford,3067,169.9
2025-07-25 01:20:11,Richmond,BP Swan Street,3121,169.9
2025-07-25 01:20:11,Richmond,Shell Richmond,3121,173.9
2025-07-25 01:20:11,Richmond,7-Eleven Richmond,3121,169.9
2025-07-25 01:20:11,Sunshine,Metro Petroleum Sunshine,3020,163.9
2025-07-25 01:20:11,Braybrook,7-Eleven Braybrook,3019,165.9
2025-07-25 01:20:11,Braybrook,BP Braybrook,3019,165.9
2025-07-25 01:20:11,Braybrook,Metro Braybrook,3019,163.7
2025-07-25 01:20:11,Avondale Heights,Ampol Avondale Heights,3034,169.9
2025-07-25 01:20:11,Maidstone,Liberty Maidstone,3012,160.9
2025-07-25 01:20:11,Maidstone,Dayef Petroleum Maidstone,3012,159.7
2025-07-25 01:20:11,Maidstone,7-Eleven Maidstone,3012,159.9
2025-07-25 01:20:11,Maidstone,Ampol Maidstone,3012,159.9
2025-07-25 01:20:11,Maribyrnong,EG Ampol Maribyrnong,3032,159.9
2025-07-25 01:20:11,Keilor East,Coles Express Keilor East,3033,169.9
2025-07-25 01:20:11,Keilor East,7-Eleven Keilor East,3033,169.9
2025-07-25 01:20:11,Keilor Park,BP Keilor Park Drive,3042,169.9
2025-07-25 01:20:11,Keilor Park,Caltex OTR Keilor Park,3042,168.9
2025-07-25 01:20:11,Keilor Park,Coles Express Keilor Park,3042,169.9
2025-07-25 01:20:11,Tullamarine,Ampol Tullamarine,3043,162.9
2025-07-25 01:20:11,Airport West,EG Ampol Airport West,3042,161.9
2025-07-25 01:20:11,Footscray,Ampol Footscray,3011,159.9
2025-07-25 01:20:11,Maribyrnong,Metro Maribyrnong,3032,159.7
2025-07-25 01:20:11,Maribyrnong,Astron Maribyrnong,3032,157.9
2025-07-25 01:20:11,Maribyrnong,7-Eleven Maribyrnong,3032,157.9
2025-07-25 01:20:11,Ascot Vale,Ampol Ascot Vale,3032,169.9
2025-07-25 01:20:11,Kensington,Coles Express Flemington,3031,169.9
2025-07-25 01:20:11,Ascot Vale,Metro Showgrounds,3032,165.9
2025-07-25 01:20:11,Ascot Vale,Enhance Ascot Vale,3032,164.9
2025-07-25 01:20:11,Moonee Ponds,EG Ampol Moonee Ponds,3039,164.9
2025-07-25 01:20:11,Moonee Ponds,7-Eleven Moonee Ponds,3039,165.5
2025-07-25 01:20:11,Moonee Ponds,Coles Express Moonee Ponds,3039,164.9
2025-07-25 01:20:11,Moonee Ponds,7-Eleven Moonee Ponds,3039,164.9
2025-07-25 01:20:11,Moonee Ponds,Shell OTR Moonee Ponds,3039,164.9
2025-07-25 01:20:11,Essendon,EG Ampol Niddrie,3040,169.9
2025-07-25 01:20:11,Essendon North,Coles Express Essendon,3041,169.9
2025-07-25 01:20:11,Niddrie,7-Eleven Niddrie,3042,169.9
2025-07-25 01:20:11,Airport West,Ampol Airport West,3042,169.9
2025-07-25 01:20:11,Strathmore,7-Eleven Strathmore,3041,165.5
2025-07-25 01:20:11,Strathmore,Gino's Service Station,3041,183.9
2025-07-25 01:20:11,Essendon,Jet Service Station,3040,178.9
2025-07-25 01:20:11,Pascoe Vale,7-Eleven Pascoe Vale,3044,175.9
2025-07-25 01:20:11,Glenroy,Metro Glenroy,3046,174.9
2025-07-25 01:20:11,Glenroy,Coles Express Glenroy,3046,175.9
2025-07-25 01:20:11,Tullamarine,7-Eleven Tullamarine,3043,162.5
2025-07-25 01:20:11,Glenroy,Ampol Glenroy,3046,175.9
2025-07-25 01:20:11,Flemington,BP Flemington,3031,169.9
2025-07-25 01:20:11,Flemington,7-Eleven Flemington,3031,168.9
2025-07-25 01:20:11,Flemington,7-Eleven Flemington,3031,169.9
2025-07-25 01:20:11,Brunswick West,Metro Brunswick West,3055,176.9
2025-07-25 01:20:11,Brunswick,7-Eleven Brunswick,3056,177.7
2025-07-25 01:20:11,Brunswick West,BP Brunswick,3055,177.7
2025-07-25 01:20:11,Coburg,EG Ampol Coburg,3058,177.7
2025-07-25 01:20:11,Brunswick East,Coles Express Brunswick,3057,174.9
2025-07-25 01:20:11,Coburg,U-GO Coburg,3058,178.9
2025-07-25 01:20:11,Brunswick East,Coles Express Holmes Street,3057,169.9
2025-07-25 01:20:11,Brunswick,Food Plus Fuel,3056,164.9
2025-07-25 01:20:11,Pascoe Vale South,7-Eleven Pascoe Vale South,3044,169.9
2025-07-25 01:20:11,Pascoe Vale,EG Ampol Pascoe Vale,3044,169.9
2025-07-25 01:20:11,Coburg,BP Southvale,3058,169.9
2025-07-25 01:20:11,Coburg,Coles Express Coburg,3058,169.9
2025-07-25 01:20:11,Pascoe Vale,Speedway Pascoe Vale,3044,169.9
2025-07-25 01:20:11,Coburg,Shell Coburg,3058,160.9
2025-07-25 01:20:11,Coburg,Liberty Coburg,3058,159.9
2025-07-25 01:20:11,Coburg North,Metro Coburg North,3058,159.9
2025-07-25 01:20:11,Coburg,BP North Coburg,3058,165.9
2025-07-25 01:20:11,Fawkner,Coles Express Fawkner,3060,169.9
2025-07-25 01:20:11,Fawkner,BP Fawkner,3060,165.9
2025-07-25 01:20:11,Fitzroy,United Fitzroy,3065,169.7
2025-07-25 01:20:11,Clifton Hill,Coles Express Fitzroy,3068,169.9
2025-07-25 01:20:11,Fitzroy North,BP North Fitzroy,3068,169.9
2025-07-25 01:20:11,Clifton Hill,7-Eleven Clifton Hill,3068,169.9
2025-07-25 01:20:11,Northcote,Ampol Northcote,3070,169.9
2025-07-25 01:20:11,Thornbury,BP Rio Motors,3071,169.9
2025-07-25 01:20:11,Northcote,EG Ampol Northcote,3070,169.9
2025-07-25 01:20:11,Fairfield,Coles Express Fairfield (VIC),3078,169.9
2025-07-25 01:20:11,Thornbury,7-Eleven Thornbury,3071,169.9
2025-07-25 01:20:11,Preston,Caltex Preston,3072,169.9
2025-07-25 01:20:11,Northcote,7-Eleven Northcote,3070,169.9
2025-07-25 01:20:11,Coburg,7-Eleven East Coburg,3058,169.9
2025-07-25 01:20:11,Preston,Coles Express Preston,3072,169.9
2025-07-25 01:20:11,Reservoir,Caltex Reservoir,3073,167.9
2025-07-25 01:20:11,Preston,BP Preston,3072,169.9
2025-07-25 01:20:11,Preston,EG Ampol Preston,3072,169.9
2025-07-25 01:20:11,Preston,Shell Preston,3072,169.9
2025-07-25 01:20:11,Preston,Liberty Preston Plenty Rd,3072,168.9
2025-07-25 01:20:11,Reservoir,Metro Reservoir South,3073,169.9
2025-07-25 01:20:11,Reservoir,Liberty Reservoir,3073,165.9
2025-07-25 01:20:11,Reservoir,Ampol Reservoir,3073,169.9
2025-07-25 01:20:11,Reservoir,Coles Express Reservoir (VIC),3073,169.9
2025-07-25 01:20:11,Fawkner,Ampol Fawkner,3060,169.9
2025-07-25 01:20:11,Sandringham,7-Eleven Sandringham,3191,173.9
2025-07-25 01:20:11,Hampton,BP Highbluff,3188,173.9
2025-07-25 01:20:11,Highett,7-Eleven Sandringham,3190,173.9
2025-07-25 01:20:11,Hampton,Coles Express Hampton,3188,173.9
2025-07-25 01:20:11,Hampton,7-Eleven Hampton,3188,179.9
2025-07-25 01:20:11,Highett,United Highett,3190,165.9
2025-07-25 01:20:11,Cheltenham,Ampol Cheltenham,3192,167.9
2025-07-25 01:20:11,Moorabbin,Coles Express Moorabbin,3189,171.9
2025-07-25 01:20:11,Moorabbin,Ampol Foodary Moorabbin,3189,171.9
2025-07-25 01:20:11,McKinnon,Ampol Mckinnon,3204,168.0
2025-07-25 01:20:11,McKinnon,Mckinnon Petrol,3204,168.9
2025-07-25 01:20:11,Ormond,Coles Express Ormond,3204,169.9
2025-07-25 01:20:11,Caulfield,7-Eleven Caulfield,3162,171.9
2025-07-25 01:20:11,Glen Huntly,EG Ampol Glen Huntly,3163,169.9
2025-07-25 01:20:11,Bentleigh East,United Bentleigh East,3165,168.9
2025-07-25 01:20:11,Mckinnon,7-Eleven McKinnon,3204,172.9
2025-07-25 01:20:11,Bentleigh East,Coles Express Bentleigh East,3165,172.9
2025-07-25 01:20:11,Cheltenham,Coles Express Cheltenham,3192,167.9
2025-07-25 01:20:11,Cheltenham North,Ampol Cheltenham North,3192,166.9
2025-07-25 01:20:11,Cheltenham,United Cheltenham,3192,164.9
2025-07-25 01:20:11,Moorabbin,Coles Express Warrigal Road,3189,165.9
2025-07-25 01:20:11,Heatherton,Kingston Garage,3202,164.9
2025-07-25 01:20:11,Moorabbin,BP Moorabbin,3189,167.9
2025-07-25 01:20:11,Clarinda,EG Ampol Clarinda,3169,168.9
2025-07-25 01:20:11,Clarinda,7-Eleven Clarinda,3169,165.9
2025-07-25 01:20:11,Murrumbeena,Astron Murrumbeena,3163,172.7
2025-07-25 01:20:11,Murrumbeena,EG Ampol Murrumbeena,3163,172.9
2025-07-25 01:20:11,Oakleigh South,EG Ampol Oakleigh South,3167,168.9
2025-07-25 01:20:11,Oakleigh South,7-Eleven Oakleigh South,3167,168.9
2025-07-25 01:20:11,Oakleigh,BP Hughesdale,3166,169.9
2025-07-25 01:20:11,Murrumbeena,Astron Murrumbeena,3163,174.9
2025-07-25 01:20:11,Malvern East,Pacific Chadstone,3145,166.7
2025-07-25 01:20:11,Oakleigh,BP Oakleigh,3166,169.9
2025-07-25 01:20:11,Oakleigh South,Ampol Oakleigh South,3167,169.9
2025-07-25 01:20:11,Oakleigh,Coles Express Oakleigh,3166,169.9
2025-07-25 01:20:11,Oakleigh,BP Plantation,3166,169.9
2025-07-25 01:20:11,Oakleigh,Coles Express Oakleigh,3166,169.9
2025-07-25 01:20:11,Chadstone,BP Chadstone,3148,169.9
2025-07-25 01:20:11,Malvern,Coles Express Malvern,3144,173.9
2025-07-25 01:20:11,Malvern,Coles Express Glenvern,3144,173.9
2025-07-25 01:20:11,Malvern,BP Malvern,3144,189.9
2025-07-25 01:20:11,Malvern East,BP East Malvern,3145,174.9
2025-07-25 01:20:11,Malvern East,7-Eleven Malvern East,3145,173.9
2025-07-25 01:20:11,Hawthorn East,7-Eleven Tooronga Valley,3123,172.9
2025-07-25 01:20:11,Camberwell,EG Ampol Camberwell,3124,172.9
2025-07-25 01:20:11,Hawthorn,7-Eleven Hawthorn,3122,180.5
2025-07-25 01:20:11,Hawthorn,7-Eleven Hawthorn,3122,179.9
2025-07-25 01:20:11,Auburn,7-Eleven Auburn,3123,179.9
2025-07-25 01:20:11,Hawthorn,7-Eleven Hawthorn,3122,179.9
2025-07-25 01:20:11,Hawthorn,Shell Hawthorn,3122,179.9
2025-07-25 01:20:11,Kew,United Kew,3101,162.7
2025-07-25 01:20:11,Kew,Ampol Woolworths Kew,3101,167.9
2025-07-25 01:20:11,Hawthorn East,Coles Express Auburndale,3122,179.9
2025-07-25 01:20:11,Hawthorn East,Ampol Hawthorn East,3123,179.9
2025-07-25 01:20:11,Camberwell,EG Ampol Camberwell,3124,179.9
2025-07-25 01:20:11,Camberwell,Coles Express Camberwell,3124,179.9
2025-07-25 01:20:11,Kew,Coles Express Kew,3102,179.9
2025-07-25 01:20:11,Kew,Coles Express Cotham Road,3101,175.9
2025-07-25 01:20:11,Kew East,BP Kew East,3102,169.9
2025-07-25 01:20:11,Glen Iris,BP Glen Iris,3146,171.9
2025-07-25 01:20:11,Ashburton,Coles Express Ashburton,3147,171.9
2025-07-25 01:20:11,Camberwell,BP Camberwell,3124,169.9
2025-07-25 01:20:11,Chadstone,7-Eleven Chadstone,3148,169.9
2025-07-25 01:20:11,Chadstone,U-GO Chadstone,3148,165.5
2025-07-25 01:20:11,Ashwood,7-Eleven Ashwood,3147,169.9
2025-07-25 01:20:11,Burwood,Coles Express Burwood,3125,169.9
2025-07-25 01:20:11,Burwood,BP Burwood,3125,169.9
2025-07-25 01:20:11,Balwyn,EG Ampol Balwyn,3103,175.9
2025-07-25 01:20:11,Balwyn,United Balwyn,3103,175.7
2025-07-25 01:20:11,Surrey Hills,Coles Express Surrey Hills,3127,169.9
2025-07-25 01:20:11,Balwyn,Coles Express Balwyn,3103,175.9
2025-07-25 01:20:11,Clayton South,BP Clayton South,3169,179.9
2025-07-25 01:20:11,Clayton South,OOM Energy Clayton South,3169,162.9
2025-07-25 01:20:11,Clayton South,BP Clayton,3169,173.9
2025-07-25 01:20:11,Clayton South,BP Clayton South,3169,169.9
2025-07-25 01:20:11,Springvale,Springvale Convenience Store,3171,165.7
2025-07-25 01:20:11,Clayton,Shell Clayton,3168,165.9
2025-07-25 01:20:11,Mulgrave,Atlas Fuel Mulgrave,3170,147.9
2025-07-25 01:20:11,Huntingdale,EG Ampol Huntingdale,3166,165.9
2025-07-25 01:20:11,Clayton,United Clayton,3168,166.9
2025-07-25 01:20:11,Clayton,BP Clayton North Rd,3168,165.9
2025-07-25 01:20:11,Clayton,7-Eleven Clayton,3168,165.9
2025-07-25 01:20:11,Mount Waverley,7-Eleven Mount Waverley,3149,167.9
2025-07-25 01:20:11,Mount Waverley,BP Mt Waverley,3149,166.9
2025-07-25 01:20:11,Mount Waverley,BP Fernhill,3149,169.9
2025-07-25 01:20:11,Mount Waverley,Metco Mount Waverley,3149,165.5
